1,cubewall_unscheduled_0519.eso,cubewall_scheduled_0519.eso,
,,,
Date/Time,[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),[1] Surface Outside Face Incident Solar Radiation Rate per Area  (W/m2),
,SHADER_0,SHADER_0,
Year 1 Jan 17 6:00 AM,0,0,0
Year 1 Jan 17 7:00 AM,0,0,0
Year 1 Jan 17 8:00 AM,8.599490702,8.599490702,0
Year 1 Jan 17 9:00 AM,23.50475457,23.50475457,0
Year 1 Jan 17 10:00 AM,31.27385502,31.27385502,0
Year 1 Jan 17 11:00 AM,41.10347875,41.10347875,0
Year 1 Jan 17 12:00 PM,44.94125253,44.94125253,0
Year 1 Jan 17 1:00 PM,54.84104554,54.84104554,0
Year 1 Jan 17 2:00 PM,52.96124548,52.96124548,0
Year 1 Jan 17 3:00 PM,40.88483004,40.88483004,0
Year 1 Jan 17 4:00 PM,26.53844584,26.53844584,0
Year 1 Jan 17 5:00 PM,6.678018748,6.678018748,0
Year 1 Jan 17 6:00 PM,0,0,0
Year 1 Jan 17 7:00 PM,0,0,0
Year 1 Jan 17 8:00 PM,0,0,0
Year 1 Jan 17 9:00 PM,0,0,0
Year 1 Jan 17 10:00 PM,0,0,0
Year 1 Jan 17 11:00 PM,0,0,0
Year 1 Jan 18 12:00 AM,0,0,0
Year 1 Jan 18 1:00 AM,0,0,0
Year 1 Jan 18 2:00 AM,0,0,0
Year 1 Jan 18 3:00 AM,0,0,0
Year 1 Jan 18 4:00 AM,0,0,0
Year 1 Jan 18 5:00 AM,0,0,0
Year 1 Jan 18 6:00 AM,0,0,0
Year 1 Jan 18 7:00 AM,0,0,0
Year 1 Jan 18 8:00 AM,5.37066685,5.37066685,0
Year 1 Jan 18 9:00 AM,23.65610877,23.65610877,0
Year 1 Jan 18 10:00 AM,54.12116649,54.12116649,0
Year 1 Jan 18 11:00 AM,66.49030404,66.49030404,0
Year 1 Jan 18 12:00 PM,67.53301325,67.53301325,0
Year 1 Jan 18 1:00 PM,61.41436726,61.41436726,0
Year 1 Jan 18 2:00 PM,53.71206247,53.71206247,0
Year 1 Jan 18 3:00 PM,40.65266115,40.65266115,0
Year 1 Jan 18 4:00 PM,19.00720672,19.00720672,0
Year 1 Jan 18 5:00 PM,4.384657832,4.384657832,0
Year 1 Jan 18 6:00 PM,0,0,0
Year 1 Jan 18 7:00 PM,0,0,0
Year 1 Jan 18 8:00 PM,0,0,0
Year 1 Jan 18 9:00 PM,0,0,0
