Surface Name,6:F0,6:F1,6:F2,6:F2_W0,6:F3,6:F3_W0,6:F3_W1,6:F4
 01/02 03:40,0.119469027,0.061926606,0.033919598,0.061926606,0.036684783,0.119469027,0.033919598,0.018169583
 01/02 03:50,0.119469027,0.061926606,0.033919598,0.061926606,0.036684783,0.119469027,0.033919598,0.018169583
 01/02 04:00,0.119469027,0.061926606,0.033919598,0.061926606,0.036684783,0.119469027,0.033919598,0.018169583
 01/02 04:10,0.123893805,0.064220183,0.035175879,0.064220183,0.038043478,0.123893805,0.035175879,0.01884253
 01/02 04:20,0.123893805,0.064220183,0.035175879,0.064220183,0.038043478,0.123893805,0.035175879,0.01884253
 01/02 04:30,0.123893805,0.064220183,0.035175879,0.064220183,0.038043478,0.123893805,0.035175879,0.01884253
 01/02 04:40,0.123893805,0.064220183,0.035175879,0.064220183,0.038043478,0.123893805,0.035175879,0.01884253
 01/02 04:50,0.123893805,0.064220183,0.035175879,0.064220183,0.038043478,0.123893805,0.035175879,0.01884253
 01/02 05:00,0.123893805,0.064220183,0.035175879,0.064220183,0.038043478,0.123893805,0.035175879,0.01884253
 01/02 05:10,0.128318584,0.066513761,0.036432161,0.066513761,0.039402174,0.128318584,0.036432161,0.019515478
 01/02 05:20,0.128318584,0.066513761,0.036432161,0.066513761,0.039402174,0.128318584,0.036432161,0.019515478
 01/02 05:30,0.128318584,0.066513761,0.036432161,0.066513761,0.039402174,0.128318584,0.036432161,0.019515478
 01/02 05:40,0.128318584,0.066513761,0.036432161,0.066513761,0.039402174,0.128318584,0.036432161,0.019515478
 01/02 05:50,0.128318584,0.066513761,0.036432161,0.066513761,0.039402174,0.128318584,0.036432161,0.019515478
 01/02 06:00,0.128318584,0.066513761,0.036432161,0.066513761,0.039402174,0.128318584,0.036432161,0.019515478
 01/02 06:10,0.132743363,0.068807339,0.037688442,0.068807339,0.04076087,0.132743363,0.037688442,0.020188425
 01/02 06:20,0.132743363,0.068807339,0.037688442,0.068807339,0.04076087,0.132743363,0.037688442,0.020188425
 01/02 06:30,0.132743363,0.068807339,0.037688442,0.068807339,0.04076087,0.132743363,0.037688442,0.020188425
 01/02 06:40,0.132743363,0.068807339,0.037688442,0.068807339,0.04076087,0.132743363,0.037688442,0.020188425
 01/02 06:50,0.132743363,0.068807339,0.037688442,0.068807339,0.04076087,0.132743363,0.037688442,0.020188425
